player_id,player_name,season,game_date,pts,min,fg_pct,home,opponent_id,opp_def_rating,injury_flag
1630163,LaMelo Ball,2021-22,"Feb 05, 2022",12,22.0,0.455,1,1610612748,108.4,0
1630163,LaMelo Ball,2021-22,"Feb 07, 2022",15,44.0,0.263,1,1610612761,109.9,0
1630163,LaMelo Ball,2021-22,"Feb 09, 2022",33,38.0,0.48,1,1610612741,113.2,0
1630163,LaMelo Ball,2021-22,"Feb 11, 2022",31,32.0,0.714,0,1610612765,113.3,0
1630163,LaMelo Ball,2021-22,"Feb 12, 2022",25,33.0,0.381,1,1610612763,108.9,0
1630163,LaMelo Ball,2021-22,"Feb 15, 2022",22,41.0,0.364,0,1610612750,111.0,0
1630163,LaMelo Ball,2021-22,"Feb 17, 2022",14,39.0,0.333,1,1610612748,108.4,0
1630163,LaMelo Ball,2021-22,"Feb 25, 2022",13,29.0,0.313,1,1610612761,109.9,0
1630163,LaMelo Ball,2021-22,"Feb 27, 2022",17,38.0,0.25,1,1610612765,113.3,0
1630163,LaMelo Ball,2021-22,"Feb 28, 2022",24,30.0,0.5,0,1610612749,111.1,0
1630163,LaMelo Ball,2021-22,"Jan 02, 2022",17,23.0,0.417,1,1610612756,106.8,0
1630163,LaMelo Ball,2021-22,"Jan 03, 2022",18,31.0,0.381,0,1610612764,113.6,0
1630163,LaMelo Ball,2021-22,"Jan 05, 2022",12,30.0,0.364,1,1610612765,113.3,0
1630163,LaMelo Ball,2021-22,"Jan 08, 2022",19,26.0,0.421,1,1610612749,111.1,0
1630163,LaMelo Ball,2021-22,"Jan 10, 2022",23,35.0,0.421,1,1610612749,111.1,0
1630163,LaMelo Ball,2021-22,"Jan 12, 2022",13,36.0,0.313,0,1610612755,110.2,0
1630163,LaMelo Ball,2021-22,"Jan 14, 2022",23,30.0,0.444,1,1610612753,112.1,0
1630163,LaMelo Ball,2021-22,"Jan 19, 2022",15,32.0,0.333,0,1610612738,106.2,0
1630163,LaMelo Ball,2021-22,"Jan 21, 2022",10,26.0,0.333,1,1610612760,111.7,0
1630163,LaMelo Ball,2021-22,"Jan 23, 2022",19,34.0,0.353,1,1610612737,113.7,0
1630163,LaMelo Ball,2021-22,"Jan 25, 2022",25,32.0,0.5,0,1610612761,109.9,0
1630163,LaMelo Ball,2021-22,"Jan 26, 2022",29,38.0,0.688,0,1610612754,115.5,0
1630163,LaMelo Ball,2021-22,"Jan 28, 2022",20,34.0,0.389,1,1610612747,112.8,0
1630163,LaMelo Ball,2021-22,"Jan 30, 2022",23,38.0,0.421,1,1610612746,109.5,0
1630163,LaMelo Ball,2021-22,"Mar 02, 2022",2,8.0,0.0,0,1610612739,108.9,0
1630163,LaMelo Ball,2021-22,"Mar 05, 2022",24,29.0,0.438,1,1610612759,111.7,0
1630163,LaMelo Ball,2021-22,"Mar 08, 2022",24,30.0,0.409,1,1610612751,112.3,0
1630163,LaMelo Ball,2021-22,"Mar 09, 2022",15,28.0,0.5,1,1610612738,106.2,0
1630163,LaMelo Ball,2021-22,"Mar 11, 2022",17,31.0,0.5,0,1610612740,112.0,0
1630163,LaMelo Ball,2021-22,"Mar 14, 2022",21,30.0,0.462,0,1610612760,111.7,0
1630163,LaMelo Ball,2021-22,"Mar 16, 2022",22,36.0,0.438,1,1610612737,113.7,0
1630163,LaMelo Ball,2021-22,"Mar 19, 2022",17,30.0,0.5,1,1610612742,109.1,0
1630163,LaMelo Ball,2021-22,"Mar 21, 2022",17,32.0,0.5,1,1610612740,112.0,0
1630163,LaMelo Ball,2021-22,"Mar 23, 2022",32,39.0,0.565,1,1610612752,110.2,0
1630163,LaMelo Ball,2021-22,"Mar 25, 2022",21,34.0,0.409,1,1610612762,110.0,0
1630163,LaMelo Ball,2021-22,"Mar 27, 2022",33,37.0,0.476,0,1610612751,112.3,0
1630163,LaMelo Ball,2021-22,"Mar 28, 2022",22,34.0,0.381,1,1610612743,111.5,0
1630163,LaMelo Ball,2021-22,"Mar 30, 2022",20,37.0,0.444,0,1610612752,110.2,0
1630163,LaMelo Ball,2021-22,"Nov 01, 2021",30,34.0,0.545,1,1610612739,108.9,0
1630163,LaMelo Ball,2021-22,"Nov 03, 2021",14,34.0,0.357,0,1610612744,106.6,0
1630163,LaMelo Ball,2021-22,"Nov 05, 2021",24,31.0,0.643,0,1610612758,114.8,0
